1	ananas	0.55	0.124	0.002	0.004	
2	awokado	1.69	0.041	0.153	0.02	
3	bagietka	2.65	0.528	0.007	0.079	laktoza
4	bakłażan	0.26	0.038	0.001	0.011	
5	banan	0.97	0.218	0.003	0.01	
6	batat	0.86	0.201	0.001	0.016	
7	bazylia	0.23	0.027	0.006	0.032	
8	białe wino	0.67	0.006	0	0.001	
9	białko jajka	0.48	0.007	0.002	0.109	
10	bita śmietana	2.31	0.17	0.17	0.025	laktoza
11	boczek	5.17	0	0.53	0.09	mięso
12	boczek parzony	3.19	0.01	0.29	0.13	mięso
13	boczek surowy	3.51	0.005	0.31	0.175	mięso
14	boczek surowy wedzony	3.88	0.007	0.37	0.11	mięso
15	boczek wędzony	4.77	0	0.473	0.127	mięso
16	borówka	0.57	0.14	0	0.01	
17	brokuł	0.31	0.027	0.004	0.03	
18	bulion	2.67	0.18	0.14	0.17	laktoza
19	bulion drobiowy	0.46	0.01	0.03	0.05	laktoza
20	bulion jarzynowy	0.06	0.01	0	0	laktoza
21	bulion wołowy	0.13	0.012	0.0009	0.0197	laktoza
22	bułka	3.1	0.52	0.06	0.11	laktoza
23	bułka tarta	3.95	0.72	0.05	0.13	laktoza
24	burak	0.43	0.1	0.002	0.016	laktoza
25	camembert	2.93	0.002	0.23	0.21	laktoza
26	cebula	0.39	0.09	0.001	0.01	
27	cebula czerwona	0.37	0.06	0.004	0.01	
28	cebula dymka	0.3	0.069	0.004	0.014	
29	cheddar	3.34	0	0.26	0.25	laktoza
30	chili	0.4	0.088	0.004	0.019	
31	chleb	2.45	0.527	0.003	0.08	laktoza
32	chleb razowy	2.13	0.412	0.017	0.059	laktoza
33	chleb tostowy	3.06	0.567	0.047	0.089	laktoza
34	chorizo	3.14	0.005	0.24	0.24	mięso.laktoza
35	chrzan	1.06	0.16	0.053	0.023	laktoza
36	ciabatta	2.56	0.516	0.01	0.091	laktoza
37	ciecierzyca	3.08	0.1	0.06	0.155	
38	cielęcina	1.72	0	0.08	0.24	mięso
39	cienka kiełbasa	2.3	0.01	0.18	0.16	mięso
40	corn flakes	3.88	0.77	0.036	0.09	laktoza
41	cukier	3.87	1	0	0	
42	cukier kokosowy	3.76	0.93	0.004	0	
43	cukier puder	4	1	0	0	
44	cukier trzcinowy	3.7	0.925	0	0	
45	cukier wanilinowy	3.94	0.98	0	0	
46	cukinia	0.17	0.022	0.001	0.012	
47	cynamon	2.47	0.28	0.01	0.04	
48	cytryna	0.28	0.09	0.003	0.01	
49	czarna oliwka	1.32	0.017	0.127	0.014	
50	cząber	2.72	0.6873	0.0591	0.0673	
51	czekolada biała	5.78	0.51	0.384	0.077	laktoza
52	czekolada gorzka	5.46	0.6117	0.3128	0.0488	laktoza
53	czerwona papryka	0.3	0.06	0.003	0.001	
